date,ABB,ACB,BABA,BID,BVB,CTG,EIB,HDB,KLB,LPB,MBB,MSB,NAB,NVB,OCB,PGB,SGB,SHB,SSB,STB,TCB,TPB,VAB,VBB,VCB,VIB,VPB,agribank
10/12/2023,4.2,5.5,5.9,5.3,6.05,5.3,5.6,6.1,5.5,5.8,5.5,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/13/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.8,5.5,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/14/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/15/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/15/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/15/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/15/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/15/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/15/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/15/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/16/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/17/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/17/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,6.1,5.5,5.3,5.3,5.1,,6.4,5.5,5.4,5.9,6.1,5.4,6.2,5.75,,6.1,6.0,5.3,5.5,5.5,5.3
10/18/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,5.9,5.5,5.3,5.3,5.5,,6.4,5.5,5.4,5.9,5.9,5.4,6.2,5.75,,6.1,5.9,5.3,5.5,5.3,5.3
10/19/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,5.9,5.5,5.3,5.3,5.5,,6.4,5.5,5.4,5.9,5.9,5.4,6.2,5.75,,6.1,5.9,5.3,5.5,5.3,5.3
10/23/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,5.9,5.5,5.3,5.3,5.5,,6.4,5.5,5.4,5.9,5.9,5.4,6.2,5.75,,6.1,5.9,5.1,5.5,5.3,5.3
10/24/2023,4.2,5.5,5.7,5.3,6.05,5.3,5.6,5.9,5.5,5.3,5.3,5.5,,6.4,5.5,5.4,5.6,5.9,5.4,6.2,5.75,,6.1,5.9,5.1,5.5,5.3,5.3
10/26/2023,4.2,5.5,5.6,5.3,6.05,5.3,5.6,5.9,5.5,5.3,5.3,5.5,,6.4,5.5,5.4,5.6,5.9,5.4,6.2,5.75,,6.1,5.9,5.1,5.5,5.3,5.3
